date_commande,frequentation,ca_ttc,nb_commandes,prix_moyen
2017-01-02,158,2163.8,118,13.69493670886076
2017-01-03,246,3366.81,83,13.686219512195121
2017-01-04,152,2160.75,77,14.21546052631579
2017-01-05,209,3074.57,95,14.71086124401914
2017-01-06,286,4269.15,100,14.9270979020979
2017-01-07,327,4813.950000000001,137,14.721559633027525
2017-01-08,174,2653.43,101,15.249597701149424
2017-01-09,151,2320.0200000000004,57,15.364370860927155
2017-01-10,190,2815.31,77,14.817421052631579
2017-01-11,204,2954.1899999999996,95,14.481323529411762
2017-01-12,237,3497.54,123,14.757552742616033
2017-01-13,348,4931.53,136,14.171063218390804
2017-01-14,378,5569.619999999999,137,14.734444444444442
2017-01-15,187,2794.46,31,14.943636363636363
2017-01-16,138,2064.6200000000003,73,14.961014492753625
2017-01-17,206,3026.9500000000003,96,14.693932038834953
2017-01-18,221,3170.7900000000004,86,14.347466063348419
2017-01-19,245,3619.9800000000005,109,14.775428571428574
2017-01-20,340,4939.650000000001,127,14.528382352941177
2017-01-21,360,5122.58,107,14.229388888888888
2017-01-22,246,3645.7100000000005,34,14.819959349593498
2017-01-23,172,2413.98,62,14.034767441860465
2017-01-24,200,2999.81,74,14.99905
2017-01-25,234,3404.07,116,14.547307692307694
2017-01-26,290,4143.5599999999995,127,14.28813793103448
2017-01-27,311,4652.35,101,14.959324758842445
2017-01-28,398,5840.000000000001,129,14.673366834170857
2017-01-29,177,2740.1,36,15.480790960451976
2017-01-30,166,2434.7599999999998,67,14.66722891566265
2017-01-31,170,2528.68,83,14.874588235294116
2017-02-01,158,2235.56,68,14.149113924050633
2017-02-02,227,3034.3900000000003,98,13.367356828193834
2017-02-03,363,4980.04,134,13.719118457300276
2017-02-04,378,5125.9800000000005,120,13.560793650793652
2017-02-05,199,2898.6899999999996,31,14.566281407035174
2017-02-06,191,2770.28,75,14.504083769633509
2017-02-07,199,2892.5400000000004,99,14.535376884422112
2017-02-08,260,3619.9700000000003,126,13.92296153846154
2017-02-09,240,3470.9800000000005,111,14.462416666666668
2017-02-10,351,5131.29,155,14.619059829059829
2017-02-11,347,4984.25,121,14.363832853025936
2017-02-12,178,2627.67,34,14.762191011235956
2017-02-13,216,3150.2,91,14.584259259259259
2017-02-14,318,4615.57,109,14.514371069182388
2017-02-15,218,3204.6400000000003,126,14.700183486238533
2017-02-16,218,3179.68,117,14.585688073394495
2017-02-17,345,4840.33,131,14.029942028985507
2017-02-18,326,4627.16,106,14.193742331288343
2017-02-19,203,2891.8499999999995,31,14.245566502463051
2017-02-20,195,2741.49,72,14.058923076923076
2017-02-21,197,2849.0,101,14.461928934010153
2017-02-22,180,2654.69,103,14.748277777777778
2017-02-23,251,3662.1800000000003,110,14.590358565737054
2017-02-24,320,4640.630000000001,127,14.501968750000003
2017-02-25,292,4179.64,116,14.313835616438357
2017-02-26,225,3345.15,43,14.867333333333335
2017-02-27,176,2546.56,74,14.469090909090909
2017-02-28,191,2940.48,106,15.395183246073298
2017-03-01,471,6141.540000000001,86,13.039363057324843
2017-03-02,255,3819.8700000000003,91,14.979882352941178
2017-03-03,353,5169.589999999999,133,14.644730878186966
2017-03-04,309,4591.76,79,14.860064724919095
2017-03-05,180,2843.9100000000003,16,15.799500000000002
2017-03-06,171,2567.44,65,15.014269005847954
2017-03-07,186,2790.3100000000004,87,15.001666666666669
2017-03-08,274,3986.99,118,14.551058394160583
2017-03-09,218,3101.2100000000005,114,14.225733944954131
2017-03-10,328,4792.929999999999,136,14.612591463414633
2017-03-11,381,5465.650000000001,145,14.345538057742784
2017-03-12,215,3321.91,55,15.450744186046512
2017-03-13,171,2501.38,74,14.62795321637427
2017-03-14,153,2257.42,93,14.75437908496732
2017-03-15,228,3387.8399999999997,104,14.85894736842105
2017-03-16,275,4016.2799999999997,117,14.604654545454544
2017-03-17,311,4656.89,115,14.973922829581994
2017-03-18,384,5831.849999999999,127,15.187109374999999
2017-03-19,257,3947.46,29,15.359766536964981
2017-03-20,180,2708.8300000000004,88,15.049055555555558
2017-03-21,244,3547.9199999999996,116,14.540655737704917
2017-03-22,229,3347.0,120,14.615720524017467
2017-03-23,280,4094.71,135,14.623964285714285
2017-03-24,319,4790.45,129,15.017084639498432
2017-03-25,400,5801.849999999999,105,14.504624999999999
2017-03-26,238,3592.96,52,15.096470588235293
2017-03-27,174,2581.7700000000004,74,14.837758620689657
2017-03-28,169,2517.5299999999997,77,14.89662721893491
2017-03-29,226,3275.3100000000004,100,14.492522123893806
2017-03-30,274,4047.39,136,14.771496350364963
2017-03-31,288,4405.21,119,15.295868055555555
2017-04-01,373,5542.210000000001,122,14.858471849865955
2017-04-02,219,3317.9900000000002,29,15.150639269406394
2017-04-03,200,2895.7100000000005,92,14.478550000000002
2017-04-04,200,2945.1600000000003,91,14.725800000000001
2017-04-05,264,3832.2,117,14.51590909090909
2017-04-06,288,4254.83,110,14.773715277777777
2017-04-07,371,5493.81,128,14.808113207547171
2017-04-08,329,4824.81,112,14.665075987841947
2017-04-09,204,3047.67,33,14.939558823529412
2017-04-10,170,2526.04,67,14.859058823529411
2017-04-11,223,3212.54,106,14.406008968609866
2017-04-12,250,3598.25,126,14.393
2017-04-13,293,4186.280000000001,134,14.287645051194541
2017-04-14,329,4845.84,140,14.728996960486322
2017-04-15,312,4684.089999999999,91,15.013108974358971
2017-04-16,157,2353.19,36,14.988471337579618
2017-04-17,261,3952.7000000000003,51,15.144444444444446
2017-04-18,156,2311.93,60,14.820064102564102
2017-04-19,242,3484.07,103,14.39698347107438
2017-04-20,379,4471.03,106,11.796912928759895
2017-04-21,502,6026.7300000000005,149,12.005438247011954
2017-04-22,532,6278.04,105,11.800827067669173
2017-04-23,204,3076.66,28,15.081666666666665
2017-04-24,178,2608.4100000000003,73,14.653988764044946
2017-04-25,189,2813.3500000000004,91,14.885449735449738
2017-04-26,235,3579.25,107,15.230851063829787
2017-04-27,250,3603.6800000000003,101,14.41472
2017-04-28,305,4448.46,132,14.585114754098361
2017-04-29,266,3944.6800000000003,86,14.829624060150376
2017-04-30,163,2475.99,37,15.190122699386501
2017-05-01,305,4646.599999999999,78,15.234754098360654
2017-05-02,168,2566.96,70,15.279523809523809
2017-05-03,204,2918.7499999999995,82,14.307598039215684
2017-05-04,229,3352.22,104,14.638515283842795
2017-05-05,335,4736.2,135,14.137910447761193
2017-05-06,367,5338.469999999999,112,14.546239782016347
2017-05-07,176,2644.91,41,15.027897727272727
2017-05-08,253,3885.7900000000004,70,15.358853754940712
2017-05-09,190,2803.7200000000003,101,14.75642105263158
2017-05-10,183,2677.4900000000002,91,14.631092896174865
2017-05-11,310,4645.61,104,14.985838709677418
2017-05-12,365,5280.830000000001,150,14.468027397260276
2017-05-13,398,5646.29,144,14.186658291457286
2017-05-14,233,3491.1799999999994,37,14.98360515021459
2017-05-15,220,3199.0,103,14.540909090909091
2017-05-16,203,3029.64,79,14.924334975369458
2017-05-17,174,2421.23,71,13.915114942528735
2017-05-18,192,2814.8899999999994,101,14.660885416666664
2017-05-19,352,4873.469999999999,159,13.845085227272726
2017-05-20,350,5074.2300000000005,125,14.497800000000002
2017-05-21,160,2402.3900000000003,43,15.014937500000002
2017-05-22,174,2509.56,79,14.422758620689654
2017-05-23,186,2761.67,83,14.84768817204301
2017-05-24,268,3771.3,108,14.072014925373136
2017-05-25,232,3412.8,69,14.710344827586209
2017-05-26,217,3089.5400000000004,106,14.237511520737328
2017-05-27,208,3101.79,90,14.912451923076922
2017-05-28,227,3357.9200000000005,47,14.792599118942734
2017-05-29,189,2732.32,91,14.456719576719578
2017-05-30,166,2415.96,66,14.553975903614457
2017-05-31,207,2992.1500000000005,85,14.454830917874398
2017-06-01,251,3730.48,106,14.862470119521912
2017-06-02,230,3400.5699999999997,100,14.785086956521738
2017-06-03,354,5225.98,107,14.762655367231638
2017-06-04,257,3621.8799999999997,52,14.092918287937742
2017-06-05,331,4997.0199999999995,101,15.096737160120844
2017-06-06,121,1737.77,32,14.361735537190082
2017-06-07,197,2904.1200000000003,93,14.741725888324876
2017-06-08,213,3002.2100000000005,96,14.094882629107984
2017-06-09,243,3630.96,97,14.942222222222222
2017-06-10,272,4083.1699999999996,97,15.011654411764704
2017-06-11,209,3024.0499999999997,49,14.46913875598086
2017-06-12,172,2539.7200000000003,87,14.765813953488374
2017-06-13,155,2250.2499999999995,74,14.517741935483867
2017-06-14,263,3630.2700000000004,81,13.803307984790877
2017-06-15,231,3490.63,91,15.110952380952382
2017-06-16,279,3995.6000000000004,122,14.32114695340502
2017-06-17,228,3419.07,77,14.99592105263158
2017-06-18,206,3049.2599999999998,54,14.802233009708736
2017-06-19,179,2740.04,84,15.307486033519552
2017-06-20,178,2601.9,85,14.617415730337079
2017-06-21,196,2783.75,90,14.20280612244898
2017-06-22,211,3028.3100000000004,83,14.352180094786732
2017-06-23,243,3501.5999999999995,90,14.409876543209874
2017-06-24,246,3699.92,72,15.040325203252033
2017-06-25,270,3988.79,69,14.773296296296296
2017-06-26,221,3239.8300000000004,69,14.659864253393668
2017-06-27,202,2879.7,91,14.255940594059405
2017-06-28,216,3153.8199999999997,97,14.601018518518517
2017-06-29,267,3907.3099999999995,127,14.634119850187265
2017-06-30,330,4759.14,157,14.421636363636365
2017-07-01,299,4308.08,100,14.408294314381271
2017-07-02,214,3298.01,37,15.411261682242992
2017-07-03,235,3400.95,92,14.472127659574467
2017-07-04,219,3213.1500000000005,113,14.671917808219181
2017-07-05,262,3769.25,122,14.386450381679388
2017-07-06,230,3237.19,109,14.074739130434782
2017-07-07,242,3515.14,101,14.525371900826446
2017-07-08,230,3423.6600000000003,86,14.885478260869567
2017-07-09,194,2990.68,46,15.415876288659794
2017-07-10,238,3416.6200000000003,97,14.355546218487396
2017-07-11,225,3230.3700000000003,105,14.357200000000002
2017-07-12,234,3352.8999999999996,112,14.328632478632477
2017-07-13,267,3906.2699999999995,121,14.630224719101122
2017-07-14,225,3265.23,72,14.512133333333333
2017-07-15,183,2735.91,61,14.950327868852458
2017-07-16,184,2739.8399999999997,36,14.890434782608693
2017-07-17,222,3242.81,82,14.607252252252252
2017-07-18,179,2675.12,104,14.944804469273743
2017-07-19,226,3278.7000000000003,103,14.507522123893807
2017-07-20,319,4436.59,110,13.90780564263323
2017-07-21,402,5511.4,138,13.709950248756218
2017-07-22,366,4999.29,98,13.659262295081968
2017-07-23,227,3252.08,35,14.326343612334801
2017-07-24,200,2909.39,83,14.546949999999999
2017-07-25,144,3295.3,108,22.884027777777778
2017-07-26,180,2605.95,72,14.4775
2017-07-27,212,3067.36,89,14.468679245283019
2017-07-28,252,3633.59,103,14.419007936507937
2017-07-29,202,3033.8900000000003,81,15.019257425742575
2017-07-30,215,3247.5000000000005,40,15.1046511627907
2017-07-31,207,3091.3999999999996,85,14.934299516908212
2017-08-01,224,3283.7,105,14.659374999999999
2017-08-02,184,2761.65,74,15.008967391304349
2017-08-03,201,2973.29,91,14.792487562189054
2017-08-04,252,3773.75,95,14.975198412698413
2017-08-05,226,3347.36,75,14.81132743362832
2017-08-06,182,2844.5,29,15.62912087912088
2017-08-07,224,3296.3599999999997,108,14.715892857142856
2017-08-08,226,3362.0299999999997,110,14.876238938053095
2017-08-09,222,3227.03,117,14.536171171171173
2017-08-10,229,3382.07,104,14.768864628820962
2017-08-11,304,4520.849999999999,117,14.871217105263156
2017-08-12,220,3291.44,64,14.96109090909091
2017-08-13,187,3000.48,35,16.04534759358289
2017-08-14,208,3073.95,65,14.778605769230769
2017-08-15,247,3756.38,65,15.208016194331984
2017-08-16,183,2703.53,67,14.773387978142077
2017-08-17,289,4180.48,126,14.465328719723182
2017-08-18,289,4132.88,117,14.300622837370243
2017-08-19,287,4253.13,100,14.819268292682928
2017-08-20,236,3462.15,36,14.670127118644068
2017-08-21,198,2892.51,78,14.608636363636364
2017-08-22,207,2962.84,85,14.313236714975845
2017-08-23,202,2985.7300000000005,73,14.780841584158418
2017-08-24,205,3046.8999999999996,94,14.862926829268291
2017-08-25,239,3558.3500000000004,103,14.888493723849374
2017-08-26,190,2768.85,43,14.572894736842105
2017-08-27,209,3184.3,36,15.235885167464115
2017-08-28,214,3140.05,77,14.673130841121496
2017-08-29,208,3037.0200000000004,80,14.601057692307695
2017-08-30,217,3136.7800000000007,96,14.455207373271893
2017-08-31,265,3807.4400000000005,100,14.367698113207549
2017-09-01,319,4566.0,120,14.31347962382445
2017-09-02,305,4525.84,103,14.838819672131148
2017-09-03,241,3666.7400000000002,39,15.214688796680498
2017-09-04,201,2952.84,65,14.690746268656717
2017-09-05,215,3094.2,93,14.391627906976744
2017-09-06,263,3895.4,126,14.811406844106465
2017-09-07,225,3347.6499999999996,100,14.878444444444442
2017-09-08,346,5019.749999999999,128,14.50794797687861
2017-09-09,289,4334.01,77,14.996574394463668
2017-09-10,198,3000.07,30,15.151868686868688
2017-09-11,208,3134.49,93,15.069663461538461
2017-09-12,180,2703.45,80,15.019166666666665
